date,p2.5,p25,p50,mean,p75,p97.5
2019-07-21,-777360.1461001491,-341241.2184051629,-56062.54133465847,-70230.39299047668,224089.75868246006,509251.49026956124
2019-07-28,-847559.9984462848,-347755.6897419774,-108820.00752798787,-148105.3336849139,84339.53776740911,361537.47890113626
2019-08-04,-669416.9099045522,-213587.34522099246,-24326.262952512072,-53955.65501190122,140003.07910607933,397812.3761467539
2019-08-11,-666763.2616508147,-251108.36174072878,-53772.05030642719,-82321.70215181759,110129.99624470927,364809.0202799949
2019-08-18,-731051.564009189,-245095.24136705307,-40519.97426211821,-72697.26446864956,137218.3024901006,408761.97408306773
2019-08-25,-1291531.6465990178,-706138.5474634994,-339246.5815451796,-322712.77394212276,110647.71494252667,513516.479472569
2019-09-01,-1191337.7129546045,-578921.0029827268,-200646.4955100143,-200132.77365244544,227263.3718364712,653540.8286793443
2019-09-08,-1133574.3839025458,-468560.49412364874,-67442.68970395363,-83602.47509644207,353017.5981693691,811581.5068678684
2019-09-15,-952280.0419601956,-205266.68604999885,170127.24324108823,101083.04499177403,452345.9935775838,876563.6029029
2019-09-22,-565233.9014947482,66974.79214133308,361671.58858192555,323489.3408276029,613452.5164042232,1017345.3138084057
2019-09-29,-513051.19804978714,103838.05692288783,368418.892259775,342091.39906649967,617479.7932080792,1022352.0561474435
2019-10-06,-520871.10775146086,166039.532768671,454033.6952719301,412559.2740160715,701830.572570549,1120497.7815598838
2019-10-13,-341147.41179571993,331850.0878784108,613199.7410752565,574649.8077130965,861842.214509247,1299319.1396038448
2019-10-20,-358171.4853762315,348185.2986843444,672877.3498441954,633089.9820837536,957042.590736628,1405231.0594708645
2019-10-27,-291785.2610228994,435316.99768971594,737938.6476926445,706583.5515631898,1034725.6556273467,1481064.1717848093
2019-11-03,-1878.8549870927832,808034.038946019,1131177.7664309554,1092390.305551547,1439219.2033175307,1914353.267765242
2019-11-10,178619.49504060624,1023438.4017151357,1381184.2268379028,1333487.83712355,1700066.7027095323,2202775.1684283963
2019-11-17,335606.1622645085,1197793.4877675944,1585469.7673284672,1544786.0487489293,1932088.815783971,2487128.3579477817
2019-11-24,698681.129470346,1492383.1458428183,1854707.1352298441,1811993.2133911243,2172554.5525792735,2666624.3375571314
2019-12-01,286761.3365082102,1302481.582272657,1744127.3933048113,1691778.663525675,2144749.202672703,2785882.9987955242
2019-12-08,352485.99766974256,1423956.5082015404,1920475.8574138759,1849707.1812026296,2343128.9605586994,3007373.5394584867
2019-12-15,1170394.1207943645,2319380.1339036026,2834927.3289459464,2781021.1584798787,3310503.5506814537,4060975.0655402075
2019-12-22,3119508.567288386,4341703.437632473,4841334.151799845,4775575.602809814,5296737.433260803,6036756.936691013
2019-12-29,2401439.260152402,3645037.320025249,4195542.997247038,4124149.2526720427,4666965.423742833,5487238.244097285
2020-01-05,732540.080831542,1928106.1410437282,2479602.3921749084,2418862.815885024,2959968.7593308035,3792155.647677821
2020-01-12,1124968.457601016,2355564.8807663727,2918678.13107313,2849904.139454563,3408302.4749390734,4197382.995070846
2020-01-19,1902132.2620737026,3212107.1151586887,3776254.7405945756,3704238.0780989737,4289151.536385023,5100277.059518238
2020-01-26,2848450.440598783,4178931.637978195,4740079.692114515,4698252.573006299,5306625.343317725,6165369.888755897
2020-02-02,3030043.088128286,4304314.855787919,4911256.711089624,4837035.805325287,5445845.887085105,6307503.725537667
2020-02-09,1939248.530329617,3287494.7097072015,3837069.9396596123,3782095.905158423,4367444.169489727,5183085.780561661
2020-02-16,1434431.5611686867,2555246.95314583,3059370.5521035474,3000578.206537764,3501480.789867419,4260031.796342824
2020-02-23,1314627.2346384327,2469211.0523622874,2969727.4515639106,2906881.4533858127,3405660.0971011054,4125086.2555153584
2020-03-01,2601981.586726822,3721380.7963373237,4197365.0965338675,4138839.8077940806,4627661.993667509,5352886.575542223
2020-03-08,5497136.813773813,6636448.26924757,7069049.410627628,7016953.075820622,7484462.252536258,8127042.395824757
2020-03-15,7723137.4843665315,8480759.522963095,8821199.121465309,8783879.627209451,9128965.089928444,9606559.241322795
2020-03-22,6668365.978626444,7308015.519176077,7593919.80786229,7564157.300946649,7853519.821286027,8320799.538790297
