replicate,probability
1,1.0147347876112173e-4
2,4.656353988667849e-5
3,3.9221510748567506e-8
4,1.6014180543112058e-8
5,9.938436214820148e-5
6,7.407655205631919e-9
7,1.519529712599232e-8
8,2.640598034143296e-8
9,5.4785636483303215e-9
10,9.928714238519536e-5
11,1.0023406282094699e-4
12,9.949919138275668e-5
13,5.005315493589759e-9
14,3.432024771818198e-5
15,3.316477667204067e-9
16,1.3564986411334355e-7
17,4.535871096433249e-9
18,1.4427710329927832e-8
19,1.1059851659592504e-4
20,3.6349182733266963e-9
21,1.327492904267491e-8
22,9.991435023758026e-5
23,5.513054165186325e-9
24,9.929107283264457e-5
25,1.1699855504479629e-4
26,1.0833134359083577e-4
27,9.925719301800105e-5
28,6.958013600918321e-6
29,9.205675320708919e-9
30,1.0884348958454765e-4
31,1.0657161653003883e-4
32,1.2681261842730706e-8
33,2.5543168108243305e-5
34,9.975597045484387e-5
35,5.486715251131308e-9
36,2.978756866362814e-8
37,3.091226214332077e-9
38,9.926472498998637e-5
39,6.64483709785336e-9
40,1.1543632260141381e-4
41,4.051461670751688e-9
42,1.1484256656022233e-8
43,3.2135579008737744e-9
44,1.8545863123177234e-8
45,4.0397856170263604e-8
46,3.5884198989507825e-9
47,9.926526441513667e-5
48,3.9086678884048546e-6
49,4.4873986149742145e-9
50,6.523271791638104e-9
51,1.1685720777993648e-5
52,2.9976825686879923e-9
53,9.96466360941456e-6
54,1.0094104330769605e-4
55,9.928465181487756e-5
56,9.927255048600884e-5
57,1.0805616793903153e-4
58,5.651846453097289e-5
59,1.114149198155678e-8
60,1.1986888978766659e-4
61,9.887550483796713e-9
62,1.0607683462939808e-4
63,8.008186601225469e-6
64,1.0497020188147712e-4
65,6.874587026706607e-9
66,9.925370212714186e-5
67,1.254295553142566e-6
68,3.090496995111295e-9
69,9.932985709171632e-5
70,1.2515789336386926e-8
71,1.0844542532984222e-4
72,3.2403617330369967e-9
73,1.1501427506685999e-4
74,1.0682998578310096e-4
75,1.1054911277956801e-4
76,1.3197242962319834e-8
77,3.76235906447176e-9
78,1.2561090249539623e-5
79,4.8870072233115445e-9
80,1.2220826275232798e-8
81,9.982809602939577e-5
82,6.30522527926193e-9
83,3.6071368882268014e-5
84,1.0245596817528356e-4
85,6.513490027479019e-9
86,9.945947525138803e-5
87,4.643679861154416e-9
88,9.944853670431848e-5
89,9.96334636353369e-5
90,9.92816181932935e-5
91,1.0325015308351497e-4
92,9.925902743366423e-5
93,8.052355062257063e-9
94,1.2532503559543079e-8
95,3.0573530069734805e-9
96,9.624332403861498e-9
97,1.390141697652245e-5
98,3.586318873369982e-5
99,4.0202179790870524e-9
100,2.1964642342336634e-8
101,1.3448402158974618e-8
102,1.1382358613245008e-4
103,1.0181321958388736e-4
104,3.998768913723115e-8
105,1.4355062703814246e-8
106,9.98297184541261e-5
107,9.926356047907884e-5
108,2.4055238120953874e-6
109,1.5169960206483574e-8
110,1.0052610651676348e-7
111,3.0485603654616676e-8
112,7.4259744089843055e-9
113,6.125865983381962e-5
114,1.0137831848390959e-4
115,9.925308091204915e-5
116,9.926965360882691e-5
117,6.384220184204029e-9
118,9.934762428773446e-5
119,3.933912088754298e-5
120,2.4783715242895437e-8
121,1.4350844783983018e-8
122,7.308111718207555e-8
123,6.19750992295396e-6
124,9.929626633129918e-5
125,6.9369037710522754e-9
126,1.5800257686131803e-5
127,2.7030418915274964e-6
128,9.998159362329646e-5
129,9.963296715894517e-5
130,4.524769031952201e-8
131,4.9684704336792684e-8
132,9.930215827179953e-5
133,9.928436946019773e-5
134,5.449194526887038e-9
135,1.572798731727952e-8
136,1.713971202102052e-8
137,3.261724619061017e-8
138,5.694792125254082e-7
139,1.4201294498034396e-8
140,5.403391829553258e-7
141,4.9174651063912065e-9
142,8.654351852642535e-8
143,1.0281509312749746e-4
