date	ili_admit	total	admit_rate
2017-12-24	19	329	5.77507598784195
2017-12-25	30	360	8.33333333333333
2017-12-26	34	393	8.65139949109415
2017-12-27	39	428	9.11214953271028
2017-12-28	38	352	10.7954545454545
2017-12-29	29	383	7.57180156657963
2017-12-30	24	362	6.62983425414365
2017-12-31	30	313	9.58466453674121
2018-01-01	36	404	8.91089108910891
2018-01-02	37	479	7.72442588726514
2018-01-03	41	431	9.51276102088167
2018-01-04	31	225	13.7777777777778
2018-01-05	38	347	10.9510086455331
2018-01-06	28	357	7.84313725490196
2018-01-07	22	390	5.64102564102564
2018-01-08	35	411	8.51581508515815
2018-01-09	47	459	10.239651416122
2018-01-10	33	478	6.90376569037657
2018-01-11	35	519	6.74373795761079
2018-01-12	30	442	6.78733031674208
2018-01-13	38	438	8.67579908675799
2018-01-14	21	484	4.33884297520661
2018-01-15	35	570	6.14035087719298
2018-01-16	40	603	6.6334991708126
2018-01-17	32	577	5.54592720970537
2018-01-18	38	570	6.66666666666667
2018-01-19	42	619	6.78513731825525
2018-01-20	39	673	5.79494799405646
2018-01-21	52	742	7.00808625336927
2018-01-22	49	870	5.63218390804598
2018-01-23	33	707	4.66760961810467
2018-01-24	47	747	6.29183400267738
2018-01-25	36	712	5.0561797752809
2018-01-26	60	817	7.34394124847001
2018-01-27	44	772	5.69948186528497
2018-01-28	45	818	5.50122249388753
2018-01-29	58	1025	5.65853658536585
2018-01-30	58	1002	5.78842315369261
2018-01-31	37	1006	3.6779324055666
2018-02-01	59	959	6.15224191866528
2018-02-02	67	852	7.86384976525822
2018-02-03	60	896	6.69642857142857
2018-02-04	35	942	3.71549893842887
2018-02-05	50	1200	4.16666666666667
2018-02-06	61	1450	4.20689655172414
2018-02-07	50	1101	4.54132606721163
2018-02-08	45	1005	4.47761194029851
2018-02-09	58	1061	5.46654099905749
2018-02-10	50	1041	4.8030739673391
2018-02-11	53	1038	5.10597302504817
2018-02-12	68	1287	5.28360528360528
2018-02-13	69	1298	5.31587057010786
2018-02-14	43	1019	4.2198233562316
2018-02-15	60	1016	5.90551181102362
2018-02-16	59	942	6.26326963906582
2018-02-17	43	884	4.86425339366516
2018-02-18	43	892	4.82062780269058
2018-02-19	50	876	5.70776255707763
2018-02-20	52	855	6.08187134502924
2018-02-21	42	717	5.85774058577406
2018-02-22	37	578	6.40138408304498
2018-02-23	35	492	7.11382113821138
2018-02-24	21	433	4.84988452655889
2018-02-25	26	398	6.53266331658291
2018-02-26	30	533	5.62851782363977
2018-02-27	31	449	6.90423162583519
2018-02-28	22	367	5.99455040871935
2018-03-01	24	376	6.38297872340426
2018-03-02	12	215	5.58139534883721
2018-03-03	24	316	7.59493670886076
2018-03-04	21	298	7.04697986577181
2018-03-05	21	315	6.66666666666667
2018-03-06	18	297	6.06060606060606
2018-03-07	13	227	5.72687224669604
2018-03-08	26	283	9.18727915194346
2018-03-09	24	254	9.44881889763779
2018-03-10	16	265	6.0377358490566
