REGION,week,p2.5,p25,p50,p75,p97.5,mean,p.positive,scale_factor
Massachusetts,2020-01-26,37353.873923492705,179788.2420561351,249591.58127424945,303600.5913775389,378234.67909711547,237219.20945016705,0.955,14800711.897995513
Massachusetts,2020-02-02,70358.15597026114,231548.70137012008,299792.8704536793,355892.19365778734,431232.68804865837,287037.7735510379,0.9785,14477707.247181816
Louisiana,2020-02-09,23012.052204100943,102855.53188303596,140003.97210661543,169274.2398848368,205475.40058304608,132512.97332633391,0.957,3199243.0692388574
Massachusetts,2020-02-09,46076.310743158414,184619.44424084475,247908.810352519,300661.303526695,370006.80785656604,236364.4395300905,0.966,14266300.919440132
Delaware,2020-02-16,1320.427969527452,4597.58531527394,5735.487843693047,6522.13202578339,7374.333568446134,5381.929077629529,0.971,272632.8876557143
Louisiana,2020-02-16,21288.640000600783,100356.72796450506,136376.58688752213,162131.4989381733,195825.7842796884,127996.09227836125,0.9625,3140815.3550222223
Massachusetts,2020-02-16,55606.26147940728,181803.2420127805,234375.7940775687,276526.64400338015,336126.8180419094,223861.77208421947,0.97525,13018603.409179728
Washington,2020-02-16,20859.00298759335,70720.40913104509,89664.75913519615,104656.18334713065,124130.30867006366,85171.44650607392,0.98025,4417746.30968125
Delaware,2020-02-23,1851.5199909930236,5662.266703795219,7018.14292116443,7855.990660380668,8791.718022855011,6551.035676945378,0.97875,328836.50871857145
Louisiana,2020-02-23,45607.095479281794,131444.56675082367,165636.06973818148,190358.46015430067,221884.15744135904,156864.00819297897,0.9845,3054990.9354382223
Massachusetts,2020-02-23,28986.68816187529,130909.54164144317,184947.8404197924,229065.31612760364,284783.84278387943,176503.88920495944,0.95575,14107144.240466665
Oregon,2020-02-23,9205.969772169485,41011.5916352763,55790.643041240786,66561.82369487437,78155.37281845884,52254.22292852523,0.951,2949636.0295861876
Virginia,2020-02-23,58975.5204101622,209663.01202770657,280828.80596141965,332429.86083108344,400526.2361248209,265334.20078152546,0.97525,8627630.056260373
Washington,2020-02-23,35287.07940255759,90472.05535908947,110209.67109891414,125075.11405598752,143046.7179401166,105012.9266279783,0.992,4621378.6914163465
Colorado,2020-03-01,42315.28938404888,127117.44459778469,157558.80169472116,177651.63756942336,200541.84583075385,147814.8202167342,0.9845,4662980.990126207
Delaware,2020-03-01,778.6184987407408,3139.9091820781487,4161.9757942399965,4879.506961579905,5658.458422450456,3881.7925873771137,0.9525,293935.8730585714
Louisiana,2020-03-01,50552.85675753448,137468.95033837357,171405.5921042679,196008.13808770358,225000.80267986885,162082.22969087955,0.9885,3178727.9527429277
Maryland,2020-03-01,41248.410664700335,158075.6474147733,209334.73842955029,246409.5366954791,290685.2540788324,196423.15800374583,0.95675,8329904.894957261
Massachusetts,2020-03-01,42297.48592154782,157992.58280551797,210141.17252432698,251973.9909144399,307294.2175978939,200393.56491811023,0.97525,13905118.46386736
Missouri,2020-03-01,21918.331752222748,70349.64532931488,90255.63618583822,105002.03709968254,121630.20124093324,85205.90126442978,0.97175,1983839.81536
Montana,2020-03-01,2850.0670148046547,7678.148676423224,8931.474867865152,9663.157072067806,10304.725810670587,8369.19998685121,0.986,349820.1719848421
New York,2020-03-01,84222.6441486021,427437.7426381586,593460.6786432897,732986.5539975617,926883.3664679067,569419.5106779751,0.95725,31700715.076665115
Oregon,2020-03-01,29197.773782938624,70656.82601655992,86743.44817748324,98198.4317063265,109785.4517847716,82084.59566184133,0.986,2992501.8893817025
South Carolina,2020-03-01,33233.0997363913,143923.60161877732,181716.95945957088,203308.82160192134,222038.19814141127,166786.0364586954,0.95125,3390317.322391522
Virginia,2020-03-01,60842.616753778675,212002.23849336844,273486.0052547567,325654.60863170173,386908.6721184035,261014.67959869324,0.9775,8493295.361011446
Washington,2020-03-01,125419.02494240052,176600.12806673636,193660.67796715305,207705.26680766232,224271.71758203593,188967.86909548714,0.99925,4327316.251629166
West Virginia,2020-03-01,4735.624229971476,21632.81859177393,29468.980514771996,34894.72524744586,41143.8841373247,27499.48286310755,0.95175,1081839.6253233333
Colorado,2020-03-08,124627.93630973248,215961.97825942314,243566.1167620503,261924.8856939591,282140.2261850302,233630.51561645686,0.99875,4435838.463581206
Connecticut,2020-03-08,38464.600878682664,133633.20679843007,170863.18276225435,193897.0551662602,215240.55113857548,158021.42816455197,0.96,3766289.322708818
Georgia,2020-03-08,146260.2902429104,480061.6306579153,594608.4924016182,669903.4874582365,745892.1277153813,556594.0832117196,0.97825,10956326.848667279
Illinois,2020-03-08,55037.01008891148,217533.71771948505,285902.28704581707,343504.8388504057,418277.9630831147,272404.4612913621,0.967,10777693.67388
Iowa,2020-03-08,5551.100299645436,19893.457680387262,25257.582036652682,28557.892553932663,31977.90055829061,23439.623557335137,0.9745,1411580.1249558
Louisiana,2020-03-08,118020.92156013194,218664.880031124,249085.60773687955,272441.89353027206,300499.24052809644,239828.87667468478,0.99725,3219957.741938667
Maine,2020-03-08,4812.285434556509,14380.697191507434,17448.144222996183,19741.969396834986,22271.269361435254,16495.943090648776,0.9805,795827.6706655102
Maryland,2020-03-08,89383.62054748995,241401.9988305439,292784.913993251,329153.74473543616,368625.2467899722,276814.87732032867,0.9915,8062630.1759443255
Massachusetts,2020-03-08,146433.88139050867,288053.037123996,338668.886856419,379177.11181851965,429267.25883617194,326434.12707397976,0.998,12940610.71142
Missouri,2020-03-08,34504.39376562322,74419.70165023874,88707.10654829069,98818.48635083988,110721.72910002834,84511.6884966761,0.993,1440272.838784
Montana,2020-03-08,6113.190781722472,11101.600549526516,12318.67299424531,13022.31023980247,13606.01012819658,11717.57876815553,0.99675,343405.50510356756
New York,2020-03-08,634295.7774685702,1211745.3738907957,1399241.710269396,1550107.873387958,1741981.7938405946,1350249.6276691363,0.999,33765743.065018095
Oregon,2020-03-08,54278.02382592328,106169.73707204485,120816.33561603838,130662.59472190746,141456.87950875468,115171.35956832267,0.996,2845538.6947128605
Pennsylvania,2020-03-08,98920.23682121532,305826.3356770177,385975.9268590957,446460.9965604374,524195.67676456174,366835.25575234997,0.9885,14706262.87944515
South Carolina,2020-03-08,78827.08496828665,206254.21069659488,238595.9964248189,258070.3176311081,274481.56581851316,223372.77302462328,0.97775,3336079.8370212503
Tennessee,2020-03-08,42872.80308296805,163905.65277635457,207820.84009892243,236026.23584888794,263256.5053340069,193031.93694473617,0.95975,5041795.718247272
Virginia,2020-03-08,107098.3741708096,268141.46562743094,330187.07516487886,377687.69549895043,438578.99362956017,315522.67504852824,0.99075,8335355.855543117
Washington,2020-03-08,135644.5751260363,186308.14144635043,203936.53076807794,216404.46086640074,231066.54012448882,198600.53711105956,1,4043220.391
West Virginia,2020-03-08,6818.471966981689,23692.403818052193,30488.185875166324,35299.224141149476,40815.61405423536,28595.451710093377,0.97225,1006186.2655864864
