date,p2.5,p25,p50,mean,p75,p97.5
2019-07-21,-786490.214789099,-342506.90222290176,-70252.95252079282,-77641.56146789712,217049.80152430316,509607.900776348
2019-07-28,-821462.4526562146,-337697.2142998403,-109050.48115795749,-138714.33733685405,90999.8278608394,363792.3542171416
2019-08-04,-683445.3420546948,-217211.3742412611,-31385.975020418315,-58463.65019424141,132079.75266025172,388432.57965440035
2019-08-11,-670550.6305494477,-237345.51019390035,-48862.329416975874,-79109.78933723083,108340.5359639752,364479.1921248463
2019-08-18,-706734.9230776104,-236020.35835881333,-35453.1806504203,-63695.454701636896,141005.32632359705,408525.7459901724
2019-08-25,-1295774.1379342761,-719973.9393920858,-332317.4051393602,-323113.41983778146,119988.40665424624,538759.4491551538
2019-09-01,-1196532.2111687607,-567762.6894208805,-207379.92681060627,-201430.44730824913,221244.42460888225,636670.2433980757
2019-09-08,-1176369.149378741,-473875.4601680508,-73907.56160321714,-87369.68725345221,336381.23460616876,806667.3113967042
2019-09-15,-998916.6402388671,-207166.15848001314,160128.21062603188,92242.54686876092,447160.4327548966,879060.9897872283
2019-09-22,-615970.9396389049,75037.56186585197,358538.2974860741,319140.2205183464,610161.5028951304,1005185.2931628193
2019-09-29,-554892.4025528195,106566.68035070357,373501.3657939165,340081.8515947212,623003.016125821,1033679.5418412
2019-10-06,-455047.5477939381,179452.42842907636,457455.24635877775,421906.3479286542,709134.398671856,1109401.6616423181
2019-10-13,-374356.953107454,318527.09108059644,608621.1423408854,567082.7157510819,860665.2574481599,1283172.3006470934
2019-10-20,-403755.0115298565,361453.25800467737,669904.2126393602,631566.9017029019,958755.1551808913,1409208.15972074
2019-10-27,-289008.00840778416,416351.063890029,755399.7270797985,705572.5879428809,1025714.6121031704,1486881.8668073225
2019-11-03,4251.770474249838,796125.4036690443,1141894.1084434332,1090777.1541468815,1435326.7696727614,1905454.8556023913
2019-11-10,178427.28507100092,1009306.6380532813,1362205.1936283428,1318445.4948640927,1690774.8256305903,2212946.1511408067
2019-11-17,256547.35206784372,1203093.6906681615,1572851.0437999815,1536169.9232028094,1921946.9264308386,2516997.596932246
2019-11-24,731154.8169415486,1521489.5664199418,1887598.8531556437,1835173.2404230703,2193308.4523551445,2685863.9027231243
2019-12-01,276178.85254569305,1292217.1292610937,1756310.6426516077,1687904.5586102165,2138317.2945636176,2756329.6155329538
2019-12-08,351872.30141231744,1397568.32180535,1895439.7278118902,1836623.9840900344,2327335.4237118117,3029331.693177781
2019-12-15,1125546.8764447526,2286101.895679646,2811583.413122672,2749292.3511083825,3278576.339285746,4042269.0616367226
2019-12-22,3138739.8925707126,4287506.439655846,4807887.752308428,4742334.276371194,5280438.122302137,5987642.090894723
2019-12-29,2334774.407344682,3593498.9283463834,4146887.2045091046,4084283.0877014655,4649089.53787718,5460054.885168422
2020-01-05,646859.1831302495,1958617.429210065,2500995.3971331837,2433691.0862138467,2996311.214904146,3827049.0574078774
2020-01-12,1048652.0465430005,2360039.463621891,2899233.2423942694,2841958.4421573123,3404856.657364224,4213756.299266181
2020-01-19,1914040.0469617266,3209943.942068099,3764085.632655995,3703564.4975913935,4265342.162341214,5089162.366231332
2020-01-26,2751050.9838622697,4168821.6921492806,4784321.089371668,4702394.165364679,5311400.378751054,6175300.042545546
2020-02-02,2985953.79781249,4344219.26358418,4944197.77694945,4863954.741451268,5474489.028104014,6348000.934910852
2020-02-09,2026080.3963792566,3252648.6169985128,3828287.0575838573,3760841.4006113615,4330377.9020153,5180898.817058005
2020-02-16,1373774.0175289593,2600876.766684526,3098585.4051705943,3036092.4683861844,3560888.4755232423,4289462.909293568
2020-02-23,1268956.885564126,2431400.805674918,2951277.661324776,2887176.175386683,3407325.114895875,4174213.204138466
2020-03-01,2551375.247378792,3707772.0044583124,4182209.3722445117,4118416.905693425,4601882.172304924,5293727.527543052
2020-03-08,5546475.080502046,6593421.352282586,7036712.452031715,6998453.453551644,7449957.355721694,8109724.6028454285
2020-03-15,7746890.532687742,8471759.987463377,8810038.499985985,8784169.182901489,9124365.0184127,9659609.757907063
2020-03-22,6605985.14962026,7306921.443138241,7602508.141748214,7566969.378106847,7861118.064980185,8343046.943867486
