REGION,week,p2.5,p25,p50,p75,p97.5,mean,p.positive
Alabama,2020-02-02,-0.08119388676412434,-0.003200515760664043,0.021344240350049226,0.03885501180692413,0.05723271460566487,0.012852562972472878,0.72775
Alaska,2020-02-02,-0.030921602160223344,0.0062025045414597305,0.016618976974593035,0.022757431366457467,0.02848930531203403,0.01169956806990602,0.8335
Arizona,2020-02-02,-0.03905573897424459,-0.005966156527715647,0.00392287392249655,0.010502862326586556,0.0179791383703738,2.1984106535124308e-4,0.624
Arkansas,2020-02-02,-0.06301318177173351,-0.012896887329063649,0.004437374421744265,0.016116009352190055,0.02879749423820177,-0.001350819529627246,0.57825
California,2020-02-02,-0.02844216818546051,-0.0011932932897524944,0.008417825438622161,0.015501487512445794,0.02459502126201962,0.0057537728268465356,0.72675
Colorado,2020-02-02,-0.0021223316730765497,0.025278033305920614,0.0337191128273134,0.03956133965515357,0.045706449707018995,0.030702441449984293,0.9705
Connecticut,2020-02-02,-0.03181282205217315,0.02948902011243574,0.044873221255523635,0.05422737867959854,0.06267993759467835,0.037281859685145954,0.919
Delaware,2020-02-02,-0.023642442333303856,-0.00661088597137951,-0.0017219680642238788,0.0016528049224667548,0.005080482093125472,-0.0037326122434302887,0.37525
District of Columbia,2020-02-02,-0.10489496939558211,-0.02586721957055247,-0.007633136404577929,0.0032408214071222453,0.013044072850833527,-0.01702847803272854,0.331
Georgia,2020-02-02,-0.03672838178523666,0.017138556719307613,0.032311006022997815,0.042155511231086365,0.051730219418720615,0.026085943991048518,0.88425
Hawaii,2020-02-02,-0.045783052758815564,0.01252481493461037,0.02764324771061558,0.03857849908657565,0.05065243548921749,0.021847613375013966,0.85675
Idaho,2020-02-02,-0.06017301895183992,-0.009271323120184265,0.001305802391930247,0.007330537535612076,0.012312482624358714,-0.004799981269919657,0.544
Illinois,2020-02-02,-0.008621048598686834,0.012946516725886634,0.020872260843201658,0.026721142721438558,0.034215454621893106,0.018713469847013862,0.93125
Indiana,2020-02-02,-0.014729760705067804,0.01665331541714212,0.02633619688734339,0.03297452909982674,0.04096009977854447,0.022911662462671237,0.928
Iowa,2020-02-02,-0.010448037618156308,0.00825116917895128,0.013755369066574836,0.017434065114797163,0.021223155595762135,0.011600866611489395,0.90775
Kansas,2020-02-02,-0.026011915690947515,0.028303299221404194,0.043733793421880586,0.05284623276757859,0.06198947725991331,0.03688071601115847,0.92975
Kentucky,2020-02-02,-0.05702249276412616,0.05070855138973581,0.0696140330788107,0.07891956827848787,0.08510529159238606,0.05615257450290113,0.927
Louisiana,2020-02-02,-0.016266892973355686,0.02774593432824865,0.041365426151986254,0.05156479836705266,0.0632937769639714,0.037227514698015544,0.9445
Maine,2020-02-02,0.006176917997960389,0.021972014454697878,0.02656347226146945,0.02986481524503985,0.03327830948216624,0.02486565462463341,0.991
Maryland,2020-02-02,-0.00909409953761951,0.018044640393210114,0.025987962033627236,0.03163201109880805,0.038014809308015506,0.02303677807166372,0.942
Massachusetts,2020-02-02,4.6241090122703046e-4,0.015526061336719625,0.02076931334803852,0.024582301625525153,0.029687387542835345,0.01922629403487007,0.976
Michigan,2020-02-02,-0.019446236503421546,0.01069350251345006,0.017316736077752613,0.021348402706283805,0.024916917554613262,0.01386769860298593,0.90275
Minnesota,2020-02-02,-0.01906841383548115,0.009287963327738801,0.018392242627519418,0.024777283957916153,0.03216436620860473,0.015158492379447431,0.8825
Mississippi,2020-02-02,-0.05890114262983925,-0.008934522302058481,0.008279518799487764,0.02075170918080165,0.03532065031926072,0.0031750245509758407,0.643
Missouri,2020-02-02,-0.03315111375489216,0.008949204049647308,0.023535236410755618,0.03341045210417584,0.04522075757952135,0.01863952407414088,0.84075
Montana,2020-02-02,0.0038657469773038773,0.020444184664180975,0.02400504052023851,0.02611224607424474,0.027755666516851626,0.02195341118572758,0.98225
Nebraska,2020-02-02,-0.07353442798338772,-0.00527062444047737,0.01110806693049486,0.020633239461148103,0.029618658615535264,0.0030454402935181186,0.6885
Nevada,2020-02-02,-0.027736726183753325,-0.01065593534873077,-0.005271255388527477,-0.0014695085142812842,0.003404340156325857,-0.007005926105195927,0.15975
New Hampshire,2020-02-02,-0.0012348574849646355,0.019924297196058587,0.024592596556877507,0.02742061001915462,0.03007078357479937,0.02212422107575427,0.97175
New Jersey,2020-02-02,-0.04849134495772768,0.007682392260877125,0.024458672599516975,0.034990886731444834,0.045728787873480475,0.01785374914664159,0.8225
New Mexico,2020-02-02,-0.007371184724060675,0.024252389232002014,0.034820072057717304,0.042715171605807484,0.05182704144541896,0.0316107368532232,0.95675
New York,2020-02-02,-0.0032305333551833856,0.017978078455576446,0.025712174176004347,0.031629925684107454,0.039473311297555526,0.02369632669933026,0.96325
North Carolina,2020-02-02,-0.02591598338330919,0.013337138747819622,0.02501444546179648,0.03237974944134332,0.04100971685825987,0.02008906581211363,0.8825
North Dakota,2020-02-02,-0.061657317463413,-0.0030232888986554494,0.010449496527164146,0.018697610654702122,0.026179648070606968,0.003696586909640791,0.712
