REGION,date,p2.5,p25,p50,p75,p97.5,p.positive,week,State,CDC_week,NewCasesWeek
Alabama,2020-03-08,-3.724301776052274e-4,0.0027909113171889345,8.071620723736049e-4,5.327646306479688e-4,3.9466929751446787e-4,0.816,34,Alabama,11,6
Alabama,2020-03-15,-0.011920834532072256,0.01712851211081848,0.01017736274590779,0.008032674415215334,0.006447021882129445,0.90525,35,Alabama,12,119
Alabama,2020-03-22,-0.05080813882671889,0.21587803097335134,0.08427881078337537,0.060227761318230454,0.045816734370965145,0.841,36,Alabama,13,589
Arizona,2020-03-01,-2.0231606073447162e-4,-8.447165910948981e-4,-0.008865659553076225,0.0015949671874078931,6.925374583056421e-4,0.4615,33,Arizona,10,4
Arizona,2020-03-08,-3.9123402703007524e-4,-0.0030082019754917835,0.0034789905824895526,0.0014543879298765166,9.05044143296429e-4,0.6295,34,Arizona,11,7
Arizona,2020-03-15,-0.007717915602699549,0.08729290618489269,0.018798452074454432,0.011989751676990073,0.008810984204501304,0.79025,35,Arizona,12,92
Arizona,2020-03-22,-0.04460291298092219,-0.4878838034800828,0.2510900349668922,0.1282053148577311,0.08327992571512731,0.68275,36,Arizona,13,669
Arkansas,2020-03-08,-7.73608339386105e-4,-0.0024202520096279364,-0.006877566624535314,0.02190597388750322,0.0038768534394317653,0.311,34,Arkansas,11,8
Arkansas,2020-03-15,-0.01324508798833807,-0.08245982735865144,0.20174745880389158,0.06024748131299416,0.03368026372725412,0.5925,35,Arkansas,12,109
Arkansas,2020-03-22,-0.062023980132523165,0.4258107196621707,0.1286217399426697,0.08907351585712367,0.06580163321097318,0.82175,36,Arkansas,13,291
California,2020-02-02,-3.4511697466972884e-5,-8.057295365564857e-4,1.1681787080791937e-4,6.317837910405751e-5,3.9719209819670634e-5,0.7285,29,California,6,3
California,2020-02-09,-9.962150844809737e-6,-8.694612291368843e-5,5.678163467244075e-5,2.571597782927835e-5,1.4762753440381384e-5,0.66,30,California,7,1
California,2020-02-16,-2.2287396178794088e-5,-1.588388215794548e-4,1.2950275496315895e-4,5.5166214157508784e-5,3.15031873849255e-5,0.651,31,California,8,2
California,2020-02-23,-2.151125157732649e-4,-0.0020858520358126307,0.001129432828742006,5.163501205275287e-4,2.982867043544445e-4,0.67425,32,California,9,19
California,2020-03-01,-9.174350450831824e-4,-0.011222999972941995,0.0036919793655682247,0.001853157459006014,0.0011052967580713429,0.69675,33,California,10,72
California,2020-03-08,-0.005254451661936483,0.016031477094450387,0.0065970492605170105,0.004563742080412245,0.003259991532539149,0.853,34,California,11,281
California,2020-03-15,-0.08673484768729874,0.022743403916578066,0.015443821463752483,0.012421068941862026,0.00999794133500882,0.95825,35,California,12,1163
California,2020-03-22,-0.1550773430748757,0.10559373699159168,0.06629721844465929,0.05150556276291599,0.03993909541793914,0.936,36,California,13,4021
Colorado,2020-03-01,0.0032503429602723645,4.902882547038967e-4,3.935118567739237e-4,3.467646553379523e-4,3.041244815589769e-4,0.9825,33,Colorado,10,6
Colorado,2020-03-08,0.007111544017737977,0.004215590515667999,0.0037601682896876857,0.0035029874632967633,0.003250252349874735,0.9985,34,Colorado,11,95
Colorado,2020-03-15,0.02528841165338291,0.01633450974954479,0.014807597029869255,0.013891742442426682,0.012945089717362447,0.99975,35,Colorado,12,372
Colorado,2020-03-22,0.2833970995683286,0.11867254465692932,0.10214355888790529,0.09295559324776197,0.08487408100210254,0.99525,36,Colorado,13,1586
Connecticut,2020-03-08,-0.0054033420573809735,0.001303557129170301,9.699574865748709e-4,8.560757935169418e-4,7.689410779912129e-4,0.96225,34,Connecticut,11,19
Connecticut,2020-03-15,0.12103511543784344,0.010263322981406234,0.008492903853679642,0.007700525085954656,0.0071022288565621185,0.97875,35,Connecticut,12,203
Connecticut,2020-03-22,0.44674052358728433,0.06696489026606242,0.055666047061037525,0.050347581820858446,0.04653547731853483,0.9825,36,Connecticut,13,1301
Delaware,2020-03-08,-0.014730333183420378,0.0029926601276054916,0.002257799320857273,0.001965134524620521,0.001718061428074246,0.964,34,Delaware,11,3
Delaware,2020-03-15,0.03877751796876922,0.019093615804826918,0.016948807179473644,0.015795674620723798,0.014744728506690875,0.997,35,Delaware,12,41
Georgia,2020-03-01,-3.02447398216805e-4,4.8053798780095904e-4,2.6028326754158366e-4,2.0339394471939666e-4,1.6644440546931887e-4,0.8985,33,Georgia,10,5
Georgia,2020-03-08,0.0460319118661149,0.0018656310708993539,0.0014702396124158402,0.0013111943273066595,0.001170831981490309,0.976,34,Georgia,11,58
Georgia,2020-03-15,0.02768293165261578,0.011649947081052948,0.009868032159312316,0.009005604788463299,0.008274919855556402,0.99475,35,Georgia,12,487
Georgia,2020-03-22,0.18163419774724893,0.05524101877475929,0.04643415024355958,0.04205917066529063,0.03811913403069055,0.98975,36,Georgia,13,1895
Hawaii,2020-03-08,-4.254740903172201e-4,0.02013291180536932,0.0012776853284643007,7.714239560551881e-4,5.461304443588717e-4,0.76175,34,Hawaii,11,3
Hawaii,2020-03-15,-0.007750490104783911,0.05329702415754659,0.014849198681267212,0.010004667890642365,0.0074461620333743685,0.818,35,Hawaii,12,44
Hawaii,2020-03-22,-0.010494019084703593,-0.028757613013678823,-0.06511055623596676,-0.4291771923013363,0.08724454612942253,0.20325,36,Hawaii,13,103
Idaho,2020-03-08,-0.0018187211163066142,0.005686750476242002,0.0030506146425336015,0.002432624424393828,0.0020792738630872,0.871,34,Idaho,11,4
Idaho,2020-03-15,-0.024254645217198518,0.021963989415154702,0.015878610693768808,0.013848171824465579,0.01258024201646622,0.9395,35,Idaho,12,37
Idaho,2020-03-22,-1.1723069929181935,0.06703785491203502,0.055969704151764645,0.05144353219555117,0.04826901709196764,0.97225,36,Idaho,13,219
Illinois,2020-02-23,-5.269455107444624e-5,1.1513144060413389e-4,5.3901162506870934e-5,3.9541009410157244e-5,2.9112765891513586e-5,0.88075,32,Illinois,9,1
Illinois,2020-03-01,-2.1713800678025192e-4,2.3649872168973748e-4,1.3545225686679136e-4,1.0212159029881198e-4,7.758952988722175e-5,0.9105,33,Illinois,10,3
Illinois,2020-03-08,0.02104618501207599,0.002113159801395489,0.0016043827394594625,0.0013560279737012267,0.001128982149363579,0.9815,34,Illinois,11,60
Illinois,2020-03-15,0.025305312593543114,0.01369144369858156,0.011608360169589623,0.010410844468748915,0.009218599494913179,0.99925,35,Illinois,12,685
Illinois,2020-03-22,0.46349415357389717,0.09055715774637674,0.07100963578993766,0.06085771956895707,0.051591742707124036,0.98675,36,Illinois,13,2796
Indiana,2020-03-08,-0.001202100460124945,0.01893948416328225,0.0030439373517712016,0.0019444797870343678,0.0013518181829013604,0.78375,34,Indiana,11,14
Indiana,2020-03-15,-0.016518799587109265,0.029525275870106334,0.015337404829137143,0.01153713707602955,0.008955736825859102,0.88675,35,Indiana,12,111
Indiana,2020-03-22,-0.09157210532834129,-0.6803518003441704,0.8296760801856935,0.3308449082477099,0.19425593524030382,0.62425,36,Indiana,13,1106
Iowa,2020-03-08,0.08596669207791306,0.003939989302190288,0.0031702551674992496,0.002798115017159269,0.0025026389516101416,0.97625,34,Iowa,11,15
Iowa,2020-03-15,-0.14574752577727104,0.018504532346445186,0.013948515529336075,0.011953992699871609,0.010523453905032303,0.96925,35,Iowa,12,50
Iowa,2020-03-22,-0.11769115258871675,0.259136586495511,0.1390549492168445,0.10775978923786708,0.08775581156894567,0.891,36,Iowa,13,230
